fill,delivered (/fb),recorded (/fb),integrated delivered (/fb),integrated recorded (/fb)
6570,0.000261980682373,0.00017115087890600002,0.000261980682373,0.00017115087890600002
6573,0.00013916886901900002,8.890959167500001e-05,0.00040114955139200004,0.00026006047058100006
6574,0.0015219505615230002,0.0012750205078130002,0.0019231001129150003,0.0015350809783940002
6579,0.013620438476563001,0.010807749023438,0.015543538589478002,0.012342830001832
6583,0.0058468750000000005,0.005279705078125,0.021390413589478,0.017622535079957
6584,0.009354299804688,0.008542084960938001,0.030744713394166002,0.026164620040895002
6592,0.00035570468139600004,0.00034997427368200004,0.031100418075562002,0.026514594314577002
6594,0.0632464765625,0.048788406250000006,0.094346894638062,0.075303000564577
6595,0.039048039062500005,0.038046933593750006,0.13339493370056202,0.113349934158327
6611,0.06321689062500001,0.057953824218750005,0.196611824325562,0.171303758377077
6612,0.11559174218750001,0.09454082031250001,0.312203566513062,0.265844578689577
6613,0.007243028320313,0.005542249023438001,0.319446594833375,0.27138682771301503
6614,0.0819935859375,0.0753521484375,0.401440180770875,0.346738976150515
6615,0.078084328125,0.05799683203125001,0.479524508895875,0.404735808181765
6616,0.18121090625000003,0.160616,0.6607354151458751,0.565351808181765
6617,0.18160143750000002,0.177182328125,0.8423368526458751,0.742534136306765
6618,0.095033953125,0.0924119296875,0.9373708057708751,0.834946065994265
6620,0.1555324375,0.15145406250000001,1.0929032432708752,0.9864001284942651
6621,0.264780375,0.24007175000000003,1.3576836182708751,1.226471878494265
6624,0.260265421875,0.254460484375,1.6179490401458752,1.480932362869265
6628,0.35457275000000005,0.33916590625000004,1.9725217901458751,1.820098269119265
6629,0.39204746875,0.37413018750000004,2.3645692588958753,2.194228456619265
6633,0.03762002734375,0.0364153984375,2.4021892862396252,2.230643855056765
6636,0.12431015625000001,0.11238868750000001,2.526499442489625,2.3430325425567653
6638,0.5096940937500001,0.46931987500000005,3.036193536239625,2.8123524175567653
6639,0.45978306250000006,0.44528909375000003,3.495976598739625,3.2576415113067654
6640,0.33232193750000005,0.31614725000000005,3.8282985362396253,3.5737887613067656
6641,0.36497003125000005,0.35216803125,4.193268567489626,3.9259567925567658
6642,0.21471295312500002,0.20688917187500003,4.407981520614626,4.132845964431766
6643,0.025724361328125,0.024015083984375,4.433705881942751,4.1568610484161415
6645,0.11695213281250001,0.11165293750000001,4.550658014755251,4.268513985916141
6646,0.12369318750000001,0.11891775781250001,4.6743512022552505,4.387431743728641
6648,0.520491125,0.48117665625000006,5.194842327255251,4.8686083999786405
6650,0.31761778125,0.30392528125,5.512460108505251,5.17253368122864
6654,0.35417118750000004,0.34371521875000005,5.866631296005251,5.51624889997864
6659,0.30499459375000004,0.29433528125,6.171625889755251,5.8105841812286405
6662,0.5230005625,0.49743690625000003,6.694626452255251,6.30802108747864
